ticket,time,dttn,ebit,interest,dna,capex,wc,debt,equity,value,TA
NKG,2013-09-30,1134556939712,39894974916,37962289997,19521587039.0,-0.0,471048850444,1215795797307,321367480023,1537163277330,2409986912268
NLG,2013-09-30,250310216290,44347072956,9501139802,2955593175.0,-4540663636.0,1719669774343,770002863908,1234472488570,2004475352478,3239081302057
NT2,2013-09-30,1151365220294,-27724065605,63729168984,245348558985.0,-0.0,396315938778,8932137518508,2691554830327,11623692348835,12392431726833
NTP,2013-09-30,575452257039,72627596172,4526900510,21498250009.0,76562799490.0,698844987194,413303832534,1217727026592,1631030859126,1754514546984
PAN,2013-09-30,225317275400,28816006285,1619454485,265255824.0,9811379703.0,207046725004,61655500179,554149809540,615805309719,904872123544
PDN,2013-09-30,52994375840,13762065735,1102767955,0.0,18774127154.0,22505220733,44112293914,274682113749,318794407663,356812819313
PDR,2013-09-30,11677159063,1300786262,383333333,299850948.0,1301880235.0,4564450749162,2779591650000,1426846701042,4206438351042,5551735983066
PET,2013-09-30,2967938514623,98995173123,28385645425,7360338391.0,5889102621.0,1432231222186,1937841558219,1305041797536,3242883355755,4864000049100
PGS,2013-09-30,1822843031751,87623603722,9440035867,76633010613.0,24418928782.0,-202150507550,564389475525,890793482033,1455182957558,2991266815044
PHR,2013-09-30,616400592048,79929414853,1325733354,0.0,-87037750360.0,154704878971,557732440000,2100462728415,2658195168415,3209461175968
